Atlanta 2017 Legends (Holo-Foil)
Boston 2018 Legends (Holo-Foil)
Boston 2018 Minor Challengers (Holo-Foil)
Boston 2018 Minor Challengers with Flash Gaming (Holo-Foil)
Boston 2018 Returning Challengers (Holo-Foil)
DreamHack 2014 Legends (Holo-Foil)
ESL One Katowice 2015 Legends (Holo-Foil)
Krakow 2017 Challengers (Holo-Foil)
Krakow 2017 Legends (Holo-Foil)
MLG Columbus 2016 Challengers (Holo-Foil)
Sticker | AdreN (Foil) | MLG Columbus 2016
Sticker Slab | cmtry (Holo) | Cologne 2026
Sticker Slab | jabbi (Foil) | Cologne 2026
Sticker Slab | Aleksib (Foil) | Cologne 2026
Sticker Slab | FL4MUS (Holo) | Cologne 2026
Sticker Slab | tabseN (Holo) | Cologne 2026
Sticker Slab | latto | Cologne 2026
Sticker Slab | Sharks Esports | Cologne 2026
Sticker Slab | Swisher (Foil) | Cologne 2026
Sticker Slab | Jimpphat | Cologne 2026
Sticker Slab | Lake (Foil) | Cologne 2026
Sticker Slab | SunPayus | Cologne 2026
Sticker Slab | Starry (Holo) | Cologne 2026
Sticker Slab | ultimate (Foil) | Cologne 2026
Sticker Slab | iM | Cologne 2026
Sticker Slab | Magnojez (Foil) | Cologne 2026
Sticker Slab | Zero (Foil)  | Cologne 2026
Sticker Slab | latto (Holo) | Cologne 2026
Sticker Slab | BetBoom (Foil) | Cologne 2026
Sticker Slab | mezii (Holo) | Cologne 2026
Sticker Slab | FUT (Holo) | Cologne 2026
Sticker Slab | aliStair (Foil) | Cologne 2026
Sticker Slab | TjP (Foil) | Cologne 2026
Sticker Slab | Gizmy (Holo) | Cologne 2026
Sticker Slab | aliStair (Holo) | Cologne 2026
Sticker Slab | dexter (Foil) | Cologne 2026
Sticker Slab | koala (Holo) | Cologne 2026
Sticker Slab | JOTA (Holo) | Cologne 2026
Sticker Slab | Boombl4 (Foil) | Cologne 2026
Sticker Slab | Natus Vincere | Cologne 2026
Sticker Slab | arT (Foil) | Cologne 2026
Sticker Slab | gafolo (Holo) | Cologne 2026
Sticker Slab | iM (Foil) | Cologne 2026
Sticker Slab | gafolo (Foil) | Cologne 2026
Sticker Slab | luken (Holo) | Cologne 2026
Sticker Slab | Sonic (Holo) | Cologne 2026
Sticker Slab | koala (Foil) | Cologne 2026
Sticker Slab | NEKiZ (Holo) | Cologne 2026
Sticker Slab | snow (Foil) | Cologne 2026
Sticker Slab | nitr0 (Holo) | Cologne 2026
Sticker Slab | asap (Foil) | Cologne 2026
Sticker Slab | HEN1 (Foil) | Cologne 2026
Sticker Slab | Sharks Esports (Foil) | Cologne 2026
Sticker Slab | Gaimin Gladiators (Foil) | Cologne 2026
Sticker Slab | doc (Foil) | Cologne 2026
Sticker Slab | Sonic (Foil) | Cologne 2026
Sticker Slab | rdnzao (Foil) | Cologne 2026
Sticker Slab | oSee (Foil) | Cologne 2026
Sticker Slab | NRG (Foil) | Cologne 2026
Sticker Slab | maxxkor (Holo) | Cologne 2026
Sticker Slab | Liazz (Foil) | Cologne 2026
Sticker Slab | Grim (Foil) | Cologne 2026
Sticker Slab | NRG (Holo) | Cologne 2026
Sticker Slab | kyxsan (Gold) | Cologne 2026
Sticker Slab | zont1x (Foil) | Cologne 2026
Sticker Slab | tN1R (Foil) | Cologne 2026
Sticker Slab | MOUZ (Gold) | Cologne 2026
Sticker Slab | paiN Gaming (Foil) | Cologne 2026
Sticker Slab | b1t (Holo) | Cologne 2026
Sticker Slab | magixx (Holo) | Cologne 2026
Sticker Slab | Aleksib (Holo) | Cologne 2026
Sticker Slab | Techno4K (Foil) | Cologne 2026
Sticker Slab | oSee (Holo) | Cologne 2026
Sticker | xiELO | Cologne 2026
Sticker Slab | Team Liquid (Foil) | Cologne 2026
Sticker Slab | Grim (Holo) | Cologne 2026
Sticker Slab | Team Liquid (Gold) | Cologne 2026
Sticker Slab | kyousuke (Foil) | Cologne 2026
Sticker Slab | THUNDER dOWNUNDER (Foil) | Cologne 2026
Sticker | REZ (Foil) | Cologne 2026
Sticker | Swisher (Foil) | Cologne 2026
Sticker | dumau (Foil) | Cologne 2026
Sticker | REZ | Cologne 2026
Sticker | zorte | Cologne 2026
Sticker | snow | Cologne 2026
Sticker | Legacy (Gold) | Cologne 2026
Sticker | nota (Gold) | Cologne 2026
Sticker | woxic | Cologne 2026
Sticker | v$m | Cologne 2026
Sticker | alex666 | Cologne 2026
Sticker Slab | Gaimin Gladiators (Holo) | Cologne 2026
Sticker Slab | Brollan (Gold) | Cologne 2026
Sticker | lauNX (Foil) | Cologne 2026
Sticker | Techno4K (Gold) | Cologne 2026
Sticker | SINNERS (Gold) | Cologne 2026
Sticker | HUASOPEEK (Foil) | Cologne 2026
Sticker | br0 (Foil) | Cologne 2026
Sticker Slab | xiELO | Cologne 2026
Sticker Slab | HooXi (Gold) | Cologne 2026
Sticker Slab | gade | Berlin 2019
Sticker Slab | MSL (Gold) | Krakow 2017
Sticker Slab | malbsMd (Gold) | Cologne 2026
Sticker Slab | TeSeS (Gold) | Cologne 2026
Sticker | yuurih (Foil) | Cologne 2026
Sticker | JOTA | Cologne 2026
Sticker | NEKiZ | Cologne 2026
Sticker | rdnzao | Cologne 2026
Sticker | gafolo | Cologne 2026
Sticker | HEN1 | Cologne 2026
Sticker | felps | Cologne 2026
Sticker | s1zzi (Foil) | Cologne 2026
Sticker | TjP (Foil) | Cologne 2026
Sticker | aliStair (Foil) | Cologne 2026
Sticker | npl | Cologne 2026
Sticker | MAJ3R | Cologne 2026
Sticker | insani (Gold) | Cologne 2026
Sticker | Jimpphat (Foil) | Cologne 2026
Sticker Slab | Heavygod (Gold) | Cologne 2026
Sticker | B8 (Foil) | Cologne 2026
Sticker | Brollan (Foil) | Cologne 2026
Sticker | Spinx (Foil) | Cologne 2026
Sticker | nota | Cologne 2026
Sticker Slab | Magisk | Paris 2023
Sticker Slab | JDC (Holo) | Shanghai 2024
Sticker | ryu | Cologne 2026
Sticker | phzy | Cologne 2026
Sticker | story (Foil) | Cologne 2026
Sticker Slab | MOUZ (Holo) | Cologne 2026
Sticker | insani (Foil) | Cologne 2026
Sticker | v$m (Foil) | Cologne 2026
Sticker | Swisher (Gold) | Cologne 2026
Sticker | Gizmy | Cologne 2026
Sticker Slab | kyxsan (Holo) | Cologne 2026
Sticker Slab | Sharks Esports (Holo) | Cologne 2026
Sticker | MATYS (Foil) | Cologne 2026
Sticker | NertZ (Gold) | Cologne 2026
Sticker | Tauson | Cologne 2026
Sticker | Swisher | Cologne 2026
Sticker | S1ren | Cologne 2026
Sticker | Staehr (Gold) | Cologne 2026
Sticker Slab | insani (Gold) | Cologne 2026
Sticker | latto | Cologne 2026
Sticker | n1ssim | Cologne 2026
Sticker | saadzin | Cologne 2026
Sticker | FL4MUS (Foil) | Cologne 2026
Sticker | latto (Foil) | Cologne 2026
Sticker | n1ssim (Foil) | Cologne 2026
Sticker | saadzin (Foil) | Cologne 2026
Sticker Slab | SINNERS (Holo) | Cologne 2026
Sticker | Aurora (Foil) | Cologne 2026
Sticker | luken | Cologne 2026
Sticker Slab | cmtry (Gold) | Cologne 2026
Sticker | cmtry (Foil) | Cologne 2026
Sticker | luken (Foil) | Cologne 2026
Sticker Slab | SINNERS | Cologne 2026
Sticker Slab | zont1x (Gold) | Cologne 2026
Sticker | THUNDERdOWNUNDER (Foil) | Cologne 2026
Sticker | cobra | Cologne 2026
Sticker Slab | tabseN (Holo) | Shanghai 2024
Sticker | nilo (Foil) | Cologne 2026
Sticker | s1zzi | Cologne 2026
Sticker | max (Gold) | Cologne 2026
Sticker | maxxkor (Foil) | Cologne 2026
Sticker | Krabeni (Foil) | Cologne 2026
Sticker Slab | PARIVISION (Holo) | Cologne 2026
Sticker | esenthial | Cologne 2026
Sticker Slab | kyxsan (Foil) | Cologne 2026
Sticker Slab | huNter- (Gold) | Berlin 2019
Sticker | snow (Foil) | Cologne 2026
Sticker | dgt (Foil) | Cologne 2026
Sticker | Lake (Foil) | Cologne 2026
Sticker Slab | Vitality (Holo) | Cologne 2026
Sticker | biguzera (Foil) | Cologne 2026
Sticker | Staehr (Foil) | Cologne 2026
Sticker | nitr0 (Gold) | Cologne 2026
Sticker Slab | nitr0 (Gold) | Cologne 2026
Sticker | faveN (Gold) | Cologne 2026
Sticker Slab | Brollan (Holo) | Cologne 2026
Sticker Slab | Astralis (Holo) | Cologne 2026
Sticker | hypex (Foil) | Cologne 2026
Sticker | Magnojez (Foil) | Cologne 2026
Sticker | phzy (Gold) | Cologne 2026
Sticker | yxngstxr (Foil) | Cologne 2026
Sticker Slab | XANTARES | Cologne 2026
Sticker Slab | malta | Berlin 2019
Sticker | Snax | Cologne 2026
Sticker Slab | fnx (Foil) | MLG Columbus 2016
Sticker Slab | chrisJ (Foil) | Cologne 2015
Sticker Slab | Winstrike Team (Foil) | London 2018
Sticker Slab | boltz (Holo) | Rio 2022
Sticker Slab | Nifty (Gold) | Boston 2018
Sticker Slab | vice (Gold) | London 2018
Sticker Slab | HS (Gold) | Krakow 2017
Sticker Slab | jkaem | Cluj-Napoca 2015
Sticker Slab | BnTeT (Gold) | Berlin 2019
Sticker Slab | roeJ (Gold) | Rio 2022
Sticker Slab | blameF (Holo) | Shanghai 2024
Sticker Slab | SIXER | Atlanta 2017
Sticker Slab | Kaze (Gold) | Boston 2018
Sticker Slab | DEVIL (Foil) | Cologne 2016
Sticker Slab | device (Foil) | Atlanta 2017
Sticker Slab | innocent (Foil) | Krakow 2017
Sticker Slab | Skadoodle (Foil) | Cologne 2015
Sticker Slab | dennis (Gold) | Krakow 2017
Sticker Slab | tarik (Foil) | Cluj-Napoca 2015
Sticker Slab | jks (Foil) | Boston 2018
Sticker Slab | Astralis (Foil) | Boston 2018
Sticker Slab | tarik | MLG Columbus 2016
Sticker Slab | RpK (Foil) | MLG Columbus 2016
Sticker Slab | cajunb (Foil) | Cologne 2016
Sticker Slab | apEX | Cologne 2016
Sticker Slab | Brehze | Katowice 2019
Sticker Slab | Team Immunity | Cologne 2015
Sticker Slab | somebody | Boston 2018
Sticker Slab | tabseN | Rio 2022
Sticker Slab | HObbit | Stockholm 2021
Sticker Slab | Sico (Gold) | Rio 2022
Sticker Slab | ALEX | Katowice 2019
Sticker Slab | XANTARES (Foil) | Boston 2018
Sticker | blameF (Gold) | Cologne 2026
Sticker Slab | jks (Gold) | Cologne 2026
Sticker | G2 esports (Gold) | Cologne 2026
Sticker Slab | jks | Cologne 2026
Sticker Slab | Zero (Holo) | Cologne 2026
Sticker | ryu (Gold) | Cologne 2026
Sticker | soulfly (Foil) | Cologne 2026
Sticker Slab | molodoy (Foil) | Cologne 2026
Sticker Slab | Zero (Foil) | Cologne 2026
Sticker | NAF (Gold) | Cologne 2026
Sticker | MoDo (Foil) | Cologne 2026
Sticker Slab | SmithZz | Cologne 2016
Sticker | snow (Gold) | Cologne 2026
Sticker | BetBoom (Gold) | Cologne 2026
Sticker | Sharks Esports (Gold) | Cologne 2026
Sticker | bLitz | Cologne 2026
Sticker Slab | C4LLM3SU3 (Gold) | Cologne 2026
Sticker Slab | 9z Team (Holo) | Cologne 2026
Sticker | kioShiMa (Gold) | Atlanta 2017
Sticker | SK Gaming (Gold) | Atlanta 2017
Sticker | ELEAGUE (Gold) | Atlanta 2017
Sticker | FaZe Clan (Gold) | Atlanta 2017
Sticker | Team Liquid (Gold) | Boston 2018
Sticker | ELEAGUE (Gold) | Boston 2018
Sticker | Renegades (Gold) | Boston 2018
Sticker | Team Liquid (Gold) | Atlanta 2017
Sticker | Team EnVyUs (Gold) | Atlanta 2017
Sticker | Pimp (Gold) | Atlanta 2017
Sticker | device (Gold) | Atlanta 2017
Sticker | Fnatic (Gold) | Atlanta 2017
Sticker | Astralis (Gold) | Atlanta 2017
Sticker | SK Gaming (Gold) | Krakow 2017
Sticker | PGL (Gold) | Krakow 2017
Sticker | Astralis (Gold) | Krakow 2017
Sticker | GODSENT (Gold) | Atlanta 2017
Sticker | JW (Gold) | Atlanta 2017
Sticker | OpTic Gaming (Gold) | Atlanta 2017
Sticker | Natus Vincere (Gold) | MLG Columbus 2016
Sticker | cajunb (Gold) | MLG Columbus 2016
Sticker | KRIMZ (Gold) | Atlanta 2017
Sticker | Luminosity Gaming (Gold) | MLG Columbus 2016
Sticker | FalleN (Gold) | MLG Columbus 2016
Sticker | Virtus.Pro (Gold) | MLG Columbus 2016
Sticker | Gambit Gaming (Gold) | Atlanta 2017
Sticker | Dosia (Gold) | Atlanta 2017
Sticker | Fnatic (Gold) | Boston 2018
Sticker | SK Gaming (Gold) | Boston 2018
Sticker | Gambit Esports (Gold) | Boston 2018
Sticker | Natus Vincere (Gold) | Boston 2018
Sticker | Space Soldiers (Gold) | Boston 2018
Sticker | wayLander (Gold) | Cologne 2016
Sticker | Flipsid3 Tactics (Gold) | Cologne 2016
Sticker | Ninjas in Pyjamas (Gold) | Cologne 2016
Sticker | fer (Gold) | Cologne 2016
Sticker | SK Gaming (Gold) | Cologne 2016
Sticker | Virtus.Pro (Gold) | Cologne 2016
Sticker | FaZe Clan (Gold) | Boston 2018
Sticker | mousesports (Gold) | Boston 2018
Sticker | FaZe Clan (Gold) | London 2018
Sticker | Ninjas in Pyjamas (Gold) | DreamHack 2014
Sticker | Virtus.Pro (Gold) | DreamHack 2014
Sticker | Cloud9 (Gold) | Boston 2018
Sticker | Team EnVyUs (Gold) | Cologne 2015
Sticker | Xyp9x (Gold) | Cologne 2015
Sticker | Team SoloMid (Gold) | Cologne 2015
Sticker | Quantum Bellator Fire (Gold) | Boston 2018
Sticker | Team EnVyUs (Gold) | Boston 2018
Sticker | Team Liquid (Gold) | Cologne 2016
Sticker | NEO (Gold) | Cologne 2016
Sticker | Team Liquid (Gold) | MLG Columbus 2016
Sticker | s1mple (Gold) | MLG Columbus 2016
Sticker | FaZe Clan (Gold) | MLG Columbus 2016
Sticker | Natus Vincere (Gold) | Atlanta 2017
Sticker | s1mple (Gold) | Atlanta 2017
Sticker | Cloud9 G2A (Gold) | Cologne 2015
Sticker | Virtus.Pro (Gold) | Cologne 2015
Sticker | NEO (Gold) | Cologne 2015
Sticker | Immortals (Gold) | Krakow 2017
Sticker | Virtus.Pro (Gold) | Krakow 2017
Sticker | gla1ve (Gold) | Atlanta 2017
Sticker | Virtus.Pro (Gold) | Atlanta 2017
Sticker | Ninjas in Pyjamas (Gold) | Cologne 2015
Sticker | Cloud9 (Gold) | London 2018
Sticker | Fnatic (Gold) | MLG Columbus 2016
Sticker | Astralis (Gold) | MLG Columbus 2016
Sticker | device (Gold) | MLG Columbus 2016
Sticker | AdreN (Gold) | Atlanta 2017
Sticker | dennis (Gold) | Cologne 2016
Sticker | Fnatic (Gold) | Cologne 2016
Sticker | FaZe Clan (Gold) | Cologne 2016
Sticker | rain (Gold) | Cologne 2015
Sticker | Luminosity Gaming (Gold) | Cologne 2015
Sticker | Team Kinguin (Gold) | Cologne 2015
Sticker | KRIMZ (Gold) | Cologne 2015
Sticker | Fnatic (Gold) | Cologne 2015
Sticker | North (Gold) | Boston 2018
Sticker | Astralis (Gold) | Boston 2018
Sticker | n0thing (Gold) | Cologne 2015
Sticker | PENTA Sports (Gold) | Katowice 2015
Sticker | Fnatic (Gold) | Katowice 2015
Sticker | fer (Gold) | MLG Columbus 2016
Sticker | Ninjas in Pyjamas (Gold) | Katowice 2015
Sticker | Flipsid3 Tactics (Gold) | Cluj-Napoca 2015
Sticker | Team SoloMid (Gold) | Cluj-Napoca 2015
Sticker | B1ad3 (Gold) | Cluj-Napoca 2015
Sticker | Shooter
Sticker | JW (Gold) | Cologne 2015
Sticker | friberg (Gold) | Cluj-Napoca 2015
Sticker | Ninjas in Pyjamas (Gold) | Cluj-Napoca 2015
Sticker | Virtus.pro (Gold) | Katowice 2015
Sticker | Virtus.Pro (Gold) | Boston 2018
Sticker | Team EnVyUs (Gold) | Katowice 2015
Sticker | nex (Gold) | Cologne 2016
Sticker | mousesports (Gold) | Cologne 2016
Sticker | North (Gold) | Krakow 2017
Sticker | flusha (Gold) | Cologne 2015
Sticker | TSM Kinguin (Gold) | Katowice 2015
Sticker | NiKo (Gold) | MLG Columbus 2016
Sticker | All-Stars Orange (Holo)
Sticker | All-Stars Blue (Holo)
Sticker | rain (Gold) | Cluj-Napoca 2015
Sticker | G2 Esports (Gold) | Cluj-Napoca 2015
Sticker | Virtus.Pro (Gold) | Cluj-Napoca 2015
Sticker | PENTA Sports (Gold) | DreamHack 2014
Sticker | Gambit (Gold) | Krakow 2017
Sticker | G2 Esports (Gold) | Krakow 2017
Sticker | Vega Squadron (Gold) | Boston 2018
Sticker | Keyd Stars (Gold) | Katowice 2015
Sticker | pashaBiceps (Gold) | Atlanta 2017
Sticker | North (Gold) | Atlanta 2017
Sticker | pashaBiceps (Gold) | Cologne 2015
Sticker | Astralis (Gold) | Cologne 2016
Sticker | Xyp9x (Gold) | Cologne 2016
Sticker | Team Dignitas (Gold) | Cologne 2016
Sticker | kioShiMa (Gold) | Cologne 2015
Sticker | G2 Esports (Gold) | Boston 2018
Sticker | Misfits Gaming (Gold) | Boston 2018
Sticker | Xyp9x (Gold) | Atlanta 2017
Sticker | dennis (Gold) | Atlanta 2017
Sticker | rain (Gold) | Atlanta 2017
Sticker | EliGE (Gold) | Cologne 2016
Sticker | Cloud9 G2A (Gold) | Katowice 2015
Sticker | Flash Gaming (Gold) | Boston 2018
Sticker | coldzera (Gold) | Atlanta 2017
Sticker | HellRaisers (Gold) | Atlanta 2017
Sticker | Ninjas in Pyjamas (Foil) | Cologne 2014
Sticker | Fnatic (Foil) | Cologne 2014
Sticker | Flipsid3 Tactics (Gold) | Krakow 2017
Sticker | Natus Vincere (Gold) | Krakow 2017
Sticker | Fnatic (Gold) | Krakow 2017
Sticker | LGB eSports (Gold) | Katowice 2015
Sticker | Happy (Gold) | Cologne 2015
Sticker | s1mple (Gold) | Cologne 2016
Sticker | AdreN (Gold) | Cologne 2016
Sticker | Gambit Gaming (Gold) | Cologne 2016
Sticker | Counter Logic Gaming (Gold) | Cologne 2016
Sticker | Luminosity Gaming (Gold) | Cluj-Napoca 2015
Sticker | Cloud9 (Gold) | Cluj-Napoca 2015
Sticker | fer (Gold) | Cluj-Napoca 2015
Sticker | Natus Vincere (Gold) | Katowice 2015
Sticker | ScreaM (Gold) | Cologne 2015
Sticker | Team Immunity (Gold) | Cologne 2015
Sticker | Team LDLC.com (Gold) | DreamHack 2014
Sticker | fer (Gold) | Atlanta 2017
Sticker | mousesports (Gold) | Atlanta 2017
Sticker | dennis (Gold) | Cologne 2015
Sticker | JW (Gold) | MLG Columbus 2016
Sticker | Natus Vincere (Gold) | Cluj-Napoca 2015
Sticker | kennyS (Gold) | Cologne 2015
Sticker | GuardiaN (Gold) | Cluj-Napoca 2015
Sticker | seized (Gold) | Atlanta 2017
Sticker | Xizt (Gold) | Cluj-Napoca 2015
Sticker | Titan (Gold) | Cluj-Napoca 2015
Sticker | Skadoodle (Gold) | Cologne 2015
Sticker | Fnatic (Gold) | DreamHack 2014
Sticker | f0rest (Gold) | Cologne 2016
Sticker | OpTic Gaming (Gold) | Cologne 2016
Sticker | f0rest (Gold) | Cluj-Napoca 2015
Sticker | olofmeister (Gold) | Cologne 2015
Sticker | kennyS (Gold) | Cluj-Napoca 2015
Sticker | Team EnVyUs (Gold) | Cluj-Napoca 2015
Sticker | GeT_RiGhT (Gold) | Cluj-Napoca 2015
Sticker | Fnatic (Foil) | Katowice 2014
Sticker | LGB eSports (Foil) | Katowice 2014
Sticker | Kjaerbye (Gold) | Atlanta 2017
Sticker | flamie (Gold) | Cluj-Napoca 2015
Sticker | Counter Logic Gaming (Gold) | Cologne 2015
Sticker | Xizt (Gold) | Cologne 2015
Sticker | Team LDLC.com (Foil) | Cologne 2014
Sticker | Virtus.Pro (Foil) | Cologne 2014
Sticker | Natus Vincere (Foil) | Cologne 2014
Sticker | Shooter Close
Sticker | GuardiaN (Gold) | Atlanta 2017
Sticker | tarik (Gold) | Cologne 2015
Sticker | seized (Gold) | Cluj-Napoca 2015
Sticker | Natus Vincere (Gold) | Cologne 2015
Sticker | FaZe Clan (Gold) | Krakow 2017
Sticker | Team LDLC.com (Foil) | Katowice 2014
Sticker | Virtus.Pro (Foil) | Katowice 2014
